APELLIDO;NOMBRE;CLUB;POSICION;VALOR
Mugni;Lucas;Colón;VOL;2800000
Musso;Juan;Racing;ARQ;500000
Muñoz;Fabián;Newell's;DEL;1800000
Nagüel;Santiago;Argentinos;VOL;2800000
Narváez;Diego;Godoy Cruz;ARQ;400000
Navarrete;Juan M.;Rafaela;DEF;400000
Navarro;Hilario;Independiente;ARQ;5000000
Navarro;Leandro;San Lorenzo;VOL;800000
Navarro;Sebastián;Argentinos;VOL;2500000
Nervo;Hugo Martín;Arsenal;DEF;4000000
Niz;Alexis;Rafaela;DEF;1000000
Noir;Ricardo;Boca;DEL;2700000
Núñez;Cristian;Unión;DEL;3200000
Núñez;Gervasio;Quilmes;VOL;3200000
Núñez;Leonel;Argentinos;DEL;3700000
Núñez;Maximiliano;Estudiantes;VOL;3000000
Oberman;Gustavo;Argentinos;DEL;3300000
Obolo;Mauro;Godoy Cruz;DEL;8000000
Ojeda;Claudio;Godoy Cruz;DEF;800000
Ojeda;Gonzalo;Newell's;ARQ;400000
Ojeda;Luis;Argentinos;ARQ;4200000
Olave;Juan Carlos;Belgrano;ARQ;4800000
Oliva;Maximiliano;San Martín SJ;DEF;2000000
Olivarez;Leandro;Godoy Cruz;DEF;700000
Olivera;Emanuel;Vélez;DEF;900000
Olivera;Wilfredo;Quilmes;DEF;2200000
Olivero;Emiliano;Arsenal;ARQ;2500000
Olmedo;Nicolás;Godoy Cruz;VOL;4200000
Orban;Lucas;Tigre;DEF;3800000
Orion;Agustín;Boca;ARQ;5500000
Ortiz;Fernando;Racing;DEF;4900000
Ortiz;Guillermo;Newell's;DEF;2800000
Ortiz;Jorge;Arsenal;VOL;4600000
Orzán;Horacio;Newell's;VOL;2100000
Osorio B.;Humberto;San Martín SJ;DEL;3300000
Pacheco;Jonathan;San Lorenzo;VOL;1000000
Padilla;Hugo;Belgrano;DEF;500000
Palomino;José Luis;San Lorenzo;DEF;3000000
Papa;Emiliano;Vélez;DEF;4900000
Paparatto;Norberto;Tigre;DEF;2900000
Paredes;Leandro;Boca;VOL;1300000
Parodi;Lucas;Belgrano;VOL;1400000
Pasquini;Nicolás;Lanús;VOL;2000000
Pavetti;Pablo;Rafaela;VOL;800000
Pellegrino;Maximiliano;Colón;DEF;4600000
Pelletieri;Agustín;Racing;VOL;4800000
Penco;Sebastián;San Martín SJ;DEL;4000000
Perafán;Martín;Unión;ARQ;2700000
Peratta;Sebastián;Newell's;ARQ;5000000
Perea;Emanuel;All Boys;VOL;3000000
Pereyra;César;Belgrano;DEL;4800000
Pereyra;Juan Pablo;Estudiantes;DEL;3500000
Pereyra;Mauricio;Lanús;VOL;3600000
Pérez García;Matías;Tigre;VOL;3600000
Pérez Guedes;Martín;Racing;VOL;4000000
Pérez;Alejandro;Unión;DEF;1900000
Pérez;Claudio;Belgrano;DEF;4300000
Pérez;Damián Alfredo;Arsenal;DEF;3900000
Pérez;Leonel Marcos;Newell's;VOL;600000
Pérez;Pablo;Newell's;VOL;4900000
Peruzzi;Gino;Vélez;DEF;1700000
Pezzella;Germán;River;DEF;2000000
Peñalba;Gabriel;Argentinos;VOL;4000000
Piatti;Ignacio;San Lorenzo;VOL;6700000
Pietkiewitz;Leonel;Rafaela;VOL;600000
Pillud;Iván;Racing;DEF;4500000
Pinto;Marcos;Lanús;DEF;400000
Pío;Emanuel;Tigre;VOL;3000000
Pistone;Federico;Argentinos;DEF;1100000
Pittinari;Lucas;Belgrano;VOL;600000
Pizarro;Guido;Lanús;VOL;4500000
Pizzini;Francisco;Independiente;VOL;1300000
Piñero Da Silva;Jorge;Godoy Cruz;DEL;2100000
Placente;Diego;Argentinos;DEF;4000000
Pocrnjic;Luciano;San Martín SJ;ARQ;4000000
Poggi;Federico;San Martín SJ;VOL;4000000
Ponzio;Leonardo;River;VOL;5500000
Pozo;Diego;Colón;ARQ;4800000
Pratto;Lucas;Vélez;DEL;5000000
Prediger;Sebastián;Colón;VOL;4500000
