Alvarez Balanta;Eder;River;DEF;4800000;2;;;;;
Caranta;Mauricio;Rosario Ctral.;ARQ;4800000;2;;;;;
Mussis;Franco;Gimnasia L.P.;VOL;4800000;2;;;;;
Rojas;Ariel;River;VOL;4800000;2;;;;;
Villar;Diego;Racing;VOL;4800000;2;;;;;
Castellani;Gonzalo;Godoy Cruz;VOL;4700000;2;;;;;
Nanni;Roberto;Velez;DEL;4700000;2;;;;;
Sigali;Leonardo;Godoy Cruz;DEF;4700000;2;;;;;
Torrico;Sebastian;San Lorenzo;ARQ;4700000;2;;;;;
Alvarado;Pablo;San Lorenzo;DEF;4600000;2;;;;;
Braña;Rodrigo;Quilmes;VOL;4600000;2;;;;;
Rusculleda;Sebastian;Tigre;VOL;4600000;2;;;;;
Sanchez Miño;Juan M.;Boca;VOL;4600000;2;;;;;
Vangioni;Leonel;River;VOL;4600000;2;;;;;
Velazquez;Maxi;Lanus;DEF;4600000;2;;;;;
Aguirre;Nicolas;Arsenal;VOL;4500000;2;;;;;
Burdisso;Guillermo;Boca;DEF;4500000;2;;;;;
Cambiasso;Nicolas;All Boys;ARQ;4500000;2;;;;;
Casco;Milton;Newell's;DEF;4500000;2;;;;;
Cetto;Mauro;San Lorenzo;DEF;4500000;2;;;;;
Cubero;Fabian;Velez;DEF;4500000;2;;;;;
Gonzalez;Esteban;Belgrano;VOL;4500000;2;;;;;
Landa;Lucas;Colon;DEF;4500000;2;;;;;
Ledesma;Pablo;Boca;VOL;4500000;2;;;;;
Maidana;Jonatan;River;DEF;4500000;2;;;;;
Mendez;Jesus;Rosario Ctral.;VOL;4500000;2;;;;;
Pereyra;Facundo;Gimnasia L.P.;DEL;4500000;2;;;;;
Somoza;Leandro;Lanus;VOL;4500000;2;;;;;
Barsottini;Osvaldo;Gimnasia L.P.;DEF;4400000;2;;;;;
Castillon;Facundo;Godoy Cruz;DEL;4400000;2;;;;;
Gentiletti;Santiago;San Lorenzo;DEF;4400000;2;;;;;
Ortiz;Jorge;Lanus;VOL;4400000;2;;;;;
Ayala;Victor;Lanus;VOL;4300000;2;;;;;
Blengio;Juan Carlos;Gimnasia L.P.;DEF;4300000;2;;;;;
Fernandez;Ignacio;Gimnasia L.P.;VOL;4300000;2;;;;;
Mateo;Diego;Newell's;VOL;4300000;2;;;;;
Araujo;Carlos;Lanus;DEF;4200000;2;;;;;
Castaño;Diego;Tigre;VOL;4200000;2;;;;;
Funes Mori;Ramiro;River;DEF;4200000;2;;;;;
Montoya;German;Colon;ARQ;4200000;2;;;;;
Nervo;Hugo Martin;Arsenal;DEF;4200000;2;;;;;
Pisculichi;Leonardo;Argentinos;DEL;4200000;2;;;;;
Mansilla;Jacobo;Colon;VOL;4100000;2;;;;;
Perez Guedes;Martin;Olimpo;VOL;4100000;2;;;;;
Ahumada;Oscar;All Boys;VOL;4000000;2;;;;;
Bastia;Adrian;Rafaela;VOL;4000000;2;;;;;
Carrizo;Federico;Rosario Ctral.;VOL;4000000;2;;;;;
