1;Daniel Vega;29;2
2;Alexis Ferrero;29;2
2;Cristian Villagra;29;1
2;Paulo Ferrari;29;2
3;Oscar Ahumada;29;1
2;Nicolás Sánchez;29;2
4;Mauro Rosales;29;1
3;Rodrigo Rojas;29;2
4;Rogelio Funes Mori;29;1
4;Ariel Ortega;29;3
3;Marcelo Gallardo;29;3
1;Juan Ojeda;29;1
2;Juan Manuel Díaz;29;2
2;Maximiliano Coronel;29;1
4;Andrés Ríos;29;1
4;Gustavo Canales;29;1
3;Diego Barrado;29;1
3;Martín Galmarini;29;1
3;Gustavo Bou;29;1
2;Gustavo Cabral;29;2
3;Matías Almeyda;29;2
1;Nicolás Navarro;29;1
3;Mauro Díaz;29;1
4;Diego Buonanotte;29;3
2;Facundo Quiroga;29;2
4;Gonzalo Ludueña;29;1
4;Daniel Villalba;29;2
4;Gonzalo Gil;29;1
2;Lucas Orbán;29;1
3;Roberto Pereyra;29;1
3;Matías Abelairas;29;2
3;Erik Lamela;29;1
1;Jorge Broun;37;2
2;Nahuel Valentini;37;1
2;Guillermo Burdisso;37;2
2;Alexis Danelón;37;1
2;Diego Braghieri;37;1
2;Diego Chitzoff;37;1
4;Luciano Figueroa;37;2
3;Johnatan Gómez;37;2
3;Gervasio Núñez;37;1
1;Hernán Galíndez;37;1
2;Mario Vallejo;37;1
3;Lucas Moya;37;1
4;Milton Caraglio;37;1
3;Martín Astudillo;37;1
4;Emilio Zelaya;37;2
3;Matías Ballini;37;1
1;Jorge Bava;37;1
3;Darío Ocampo;37;1
2;Ignacio Boggino;37;1
1;Facundo Lupardo;37;1
3;Milton Zárate;37;1
4;Leandro Gurrieri;37;1
2;Santiago García;37;1
3;Mario Paglialunga;37;1
2;Paúl Ambrosi;37;1
3;Martín 29o;37;1
4;Adrián De León;37;1
3;Horacio Calcaterra;37;1
2;Cristian Cuffaro Russo;37;1
4;Nicolás Fernández;37;1
1;Manuel García;37;1
1;Gustavo Campagnuolo;28;1
2;Germán Voboril;28;1
2;Sebastián Luna;28;1
3;Cristian González;28;2
2;Jonathan Bottinelli;28;2
4;Juan Carlos Menseguez;28;2
3;Diego 29o;28;2
4;Bernardo Romeo;28;1
3;Leandro Romagnoli;28;3
2;Aureliano Torres;28;2
1;Nereo Champagne;28;1
2;Fernando Meza;28;1
4;Fabián Bordagaray;28;2
3;Santiago Prim;28;1
3;Juan Manuel Torres;28;2
3;Cristian Leiva;28;1
4;Alejandro Gómez;28;3
2;Gastón Aguirre;28;2
2;Pablo Pintos;28;2
3;Sebastián Rusculleda;28;1
3;Salvador Reynoso;28;1
2;José Luis Palomino;28;1
3;Gonzalo Bazán;28;1
3;Axel Juarez;28;1
2;Nelson Benítez;28;1
4;Emiliano Alfaro;28;1
3;Sebastián González;28;1
1;Pablo Migliore;28;2
1;Matías Vega;28;1
3;Nicolás Bertocchi;28;1
1;Daniel Islas;36;2
2;Cristian Leyes;36;1
2;Juan Celaya;36;1
2;José San Román;36;1
3;Diego Castaño;36;2
2;Rodolfo Arruabarrena;36;1
4;Carlos Luna;36;2
3;Jónathan Blanco;36;1
4;Leandro Lázzaro;36;2
3;Martín Morel;36;2
3;Ramiro Leone;36;1
1;Luis Ardente;36;1
2;Alberto Alarcón;36;1
4;Gerardo Castro;36;1
4;Néstor Ayala;36;2
3;Lucas Oviedo;36;1
3;Rubén Botta;36;1
3;Ribair Rodríguez;36;1
4;Cristian Bardaro;36;1
3;Mariano Pasini;36;1
1;Lucas Abud;36;1
4;Facundo Pumpido;36;1
2;Norberto Paparatto;36;1
2;Juan Pablo Garat;36;1
3;Walter Sánchez;36;1
3;Gonzalo Choy;36;1
3;Juan Miguel Maldonado;36;1
2;Pablo Fontanello;36;1
2;Carlos Fondacaro;36;1
2;Claudio Daniel Pérez;36;1
4;Brian Rodríguez;36;1
2;Maximiliano Oliva;36;1
2;Joaquín Laso;36;1
4;Franco Lanaro;36;1
1;Marcelo Barovero;27;1
2;Marco Torsiglieri;27;1
2;Emiliano Papa;27;2
2;Gastón Díaz;27;1
3;Fabián Cubero;27;2
2;Sebastián Domínguez;27;2
4;Juan Manuel Martínez;27;2
3;Nicolás Cabrera;27;2
4;Hernán Rodrigo López;27;3
3;Maximiliano Moralez;27;3
4;Rolando Zárate;27;1
1;Ezequiel Cacace;27;1
2;Pablo Lima;27;1
3;Juan Pablo Arancio;27;1
2;Fernando Tobio;27;1
3;Víctor Zapata;27;2
3;Franco Razzotti;27;1
3;Leandro Somoza;27;2
2;Nicolás Otamendi;27;2
4;Leandro Caruso;27;2
4;Jonathan Cristaldo;27;2
3;Leandro Velázquez;27;1
4;Santiago Silva;27;3
3;Iván Bella;27;1
1;Germán Montoya;27;2
3;Pablo Despósito;27;1
3;Alejandro Cabral;27;1
2;Mariano Bíttolo;27;1
3;Ricardo Álvarez;27;1
4;Leandro Píris;27;1
3;Héctor Canteros;27;1
4;Matías Conti;27;1
