APELLIDO;NOMBRE;CLUB;POSICION;VALOR
Navarro; Leandro;San Lorenzo;VOL;400000
Neira; Juan;Lanús;VOL;4300000
Nervo; Hugo Martín;Arsenal;DEF;3000000
Nieva; Brian;Independiente;DEL;800000
Niz; Alexis;Rafaela;DEF;800000
Noir; Ricardo;Newell's;DEL;2500000
Núñez; Fabricio;Unión;DEL;2700000
Núñez; Leonel;Independiente;DEL;4700000
Núñez; Maximiliano;San Martín SJ;VOL;3000000
Oberman; Gustavo;Argentinos;DEL;3000000
Obolo; Mauro Iván;Arsenal;DEL;8100000
Ojeda; Luis;Argentinos;ARQ;3000000
Olave; Juan Carlos;Belgrano;ARQ;3600000
Olivera; Emanuel;Vélez;DEF;900000
Olmedo; Nicolás;Godoy Cruz;VOL;4500000
Orban; Lucas;Tigre;DEF;1500000
Orcellet; Catriel;Arsenal;ARQ;1500000
Orion; Agustín;Boca;ARQ;5800000
Ortigoza; Néstor;San Lorenzo;VOL;8500000
Ortiz; Fernando;Vélez;DEF;5000000
Ortiz; Jorge;Arsenal;VOL;4300000
Oviedo; Lucas;San Martín SJ;VOL;2000000
Pacheco; Jonathan;San Lorenzo;VOL;500000
Padilla; Hugo;Belgrano;DEF;500000
Palavecino; Matías;Olimpo;DEF;1300000
Palomino; José Luis;San Lorenzo;DEF;2500000
Panceri; Armando;All Boys;DEF;1600000
Papa; Emiliano;Vélez;DEF;5200000
Paparatto; Norberto;Tigre;DEF;2900000
Paredes; Leandro;Boca;DEL;500000
Parodi; Lucas;Belgrano;VOL;600000
Parra; Facundo;Independiente;DEL;7000000
Parrino; Elian;Estudiantes;DEF;1900000
Pavetti; Pablo;Rafaela;VOL;800000
Pavlovich; Nicolás;Olimpo;DEL;4000000
Pavone; Mariano;Lanús;DEL;8000000
Pedrozo; Fabricio;San Lorenzo;DEL;700000
Pellegrino; Maximiliano;Colón;DEF;4400000
Pellerano; Cristian;Independiente;VOL;3700000
Pellerano; Hernán;Newell's;DEF;4500000
Pelletieri; Agustín;Racing;VOL;4800000
Penco; Sebastián;San Martín SJ;DEL;3800000
Pepe; Rodrigo;Banfield;VOL;1900000
Peratta; Sebastián;Newell's;ARQ;5900000
Perea; Emanuel;All Boys;VOL;2000000
Pereyra; César;Belgrano;DEL;3900000
Pereyra; Hernán;Banfield;VOL;500000
Pereyra; Juan Pablo;Unión;DEL;4000000
Pereyra; Mauricio;Lanús;VOL;3800000
Pérez García; Matías;All Boys;VOL;3400000
Pérez Guedes; Martín;Olimpo;VOL;1900000
Pérez Tarifa; Gabriel;Argentinos;DEL;1500000
Pérez; Alejandro;Unión;DEF;1800000
Pérez; Claudio;Belgrano;DEF;2700000
Pérez; Damián Alfredo;Arsenal;DEF;2700000
Pérez; Jorge Iván;Independiente;VOL;1800000
Pérez; Leonel Marcos;Newell's;VOL;400000
Pérez; Marco;Independiente;DEL;5100000
Pérez; Pablo;Newell's;VOL;2900000
Pérez; Patricio;All Boys;VOL;2800000
Peruzzi; Gino;Vélez;DEF;400000
Pezzella; Bruno;Belgrano;VOL;1000000
Pietkiewitz; Leonel;Rafaela;VOL;600000
Pillud; Iván;Racing;DEF;5200000
Pinto; Marcos;Lanús;DEF;300000
Pío; Emanuel;Tigre;VOL;2400000
Pistone; Federico;Argentinos;DEF;800000
Pizarro; Guido;Lanús;VOL;5100000
Pocrnjic; Luciano;San Martín SJ;ARQ;2900000
Poggi; Federico;San Martín SJ;VOL;3700000
Pozo; Diego;Colón;ARQ;5000000
Prediger; Sebastián;Colón;VOL;4300000
Prol; Mauricio;All Boys;VOL;800000
Prósperi; Gonzalo;Argentinos;DEF;4200000
Quilez; Ismael;Colón;DEF;3200000
Quintana; Carlos;Lanús;DEF;2000000
Quinteros; Marcelo;Banfield;VOL;3600000
Quinteros; Ronald;Unión;VOL;3000000
Quiroga; Facundo;All Boys;DEF;3700000
Quiroga; Juan;Belgrano;DEF;3200000
Quiroga; Matías;Unión;DEL;3900000
Quiroga; Raúl;San Martín SJ;VOL;1000000
Raldes; Ronald;Colón;DEF;3800000
Ramírez; Alfredo;Colón;VOL;2600000
Ramírez; David;Vélez;VOL;8600000
Ramírez; Jonathan;Vélez;DEL;2000000
Ramírez; Juan Edgardo;Argentinos;VOL;700000
Ramírez; Julio Gonzalo;San Lorenzo;VOL;800000
Ramírez; Rubén;Godoy Cruz;DEL;6300000
Razzotti; Franco;Vélez;VOL;4000000
Ré; Germán;Estudiantes;DEF;4700000
Regueiro; Mario;Lanús;VOL;5300000
Rescaldani; Ezequiel;Vélez;DEL;500000
Respuela; Juan Cruz;Racing;VOL;1000000
Reynoso; Salvador;San Lorenzo;VOL;2300000
Rigamonti; César;Belgrano;ARQ;800000
Rigoni; Emiliano;Belgrano;VOL;300000
Ríos; Leonel;Olimpo;VOL;4000000
Riquelme; Juan Román;Boca;VOL;9500000
Rius; Ciro;Argentinos;DEL;2700000
Rivero; Diego;Boca;VOL;4600000
Riveros; Marcos;Newell's;VOL;3000000
Roberval; Emison;San Martín SJ;DEL;2300000
Roda; Leonardo;San Martín SJ;DEL;1900000
Rodales; Andrés;Tigre;DEF;3200000
Rodríguez Rojas; Germán;Rafaela;VOL;600000
Rodríguez; Clemente;Boca;DEF;4800000
Rodríguez; Diego;Independiente;ARQ;800000
Rodríguez; Gonzalo;Argentinos;DEL;300000
Rodríguez; Juan Pablo;All Boys;VOL;3900000
Rodríguez; Lucas;Argentinos;DEF;600000
Rodríguez; Patricio;Independiente;VOL;5000000
Rodríguez; Ribair;Belgrano;VOL;3300000
Rojas; Ariel;Godoy Cruz;VOL;4400000
Rolle; Martín;Olimpo;VOL;4200000
Romagnoli; Leandro;San Lorenzo;VOL;5800000
Romeo; Bernardo;San Lorenzo;DEL;3100000
Romero; Andrés;Argentinos;DEL;1500000
Romero; Emiliano;Olimpo;DEL;2100000
Romero; Jonatan;Tigre;DEF;400000
Romero; Silvio;Lanús;DEL;5100000
Roncaglia; Facundo;Boca;DEF;4100000
Rosada; Ariel;Olimpo;VOL;3800000
Rosales; Pablo;Estudiantes;DEF;400000
Rosales; Paulo;Unión;VOL;3000000
Rúdisi; Pablo;Belgrano;DEF;700000
Rudler; Matias Ezequiel;All Boys;VOL;500000
Rui; Henry;All Boys;DEL;400000
Ruiz; Enzo Adrián;Boca;DEF;900000
Ruiz; Pablo;Godoy Cruz;DEL;1500000
Russo; Roberto;Godoy Cruz;DEF;3300000
Saavedra; Raúl;San Martín SJ;DEF;3000000
Sabia; Juan;Argentinos;DEF;3900000
Sacks; Joel;Rafaela;DEF;800000
Sainz; Nicolás;Racing;DEF;1000000
Saja; Sebastián;Racing;ARQ;5800000
Salas; Franklin;Godoy Cruz;DEL;3800000
Salcedo; Santiago;Argentinos;DEL;4700000
Salgueiro; Juan;San Lorenzo;DEL;5200000
Salom; Carlos;All Boys;DEL;2000000
San Román; José;San Lorenzo;DEF;2600000
Sánchez Miño; Juan Manuel;Unión;VOL;600000
Sánchez; Fernando;All Boys;VOL;3000000
Sánchez; Guillermo;Olimpo;DEF;900000
Sánchez; Matías;Estudiantes;VOL;3000000
Sánchez; Nicolás;Godoy Cruz;DEF;4700000
Sánchez; Sergio;Godoy Cruz;VOL;1500000
Santagatti; Damián;Unión;DEF;600000
Santillo; Pablo;Banfield;ARQ;2500000
Sara; Guillermo;Rafaela;ARQ;3000000
Sarmiento; Brian;Racing;DEL;2000000
Sarmiento; Marcelo;Unión;VOL;3200000
Sarulyte; Matías;Estudiantes;DEF;1900000
Sauro; Gastón;Boca;DEF;1700000
Scaglia; Mauricio;Newell's;DEF;400000
Scheffer; Juan Pablo;Olimpo;DEF;1700000
Schiavi; Rolando;Boca;DEF;5500000
Segovia; Favio;Banfield;DEF;1600000
Sena; Sergio;Arsenal;VOL;3100000
Serrano; Walter;Rafaela;VOL;2700000
